ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
43-11,26/03/2023 19:30:25,https://twitter.com/TeamMarkLester/status/1454083225555406848 ,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@TeamMarkLester,Mark Lester,YouTube Content Creator 🇵🇭,Identified,11/09,72,164, Philippines,"BBM studied his elementary at La Salle Greenhills and finished his secondary education at Worth School in Sussex, England.  He completed his undergraduate studies at Oxford University and graduated with a Special Diploma in Social Studies. #BringBackMarcos",,"Text, Reply",29/10/2021 21:50,https://drive.google.com/file/d/1Tq8JiwuzbchGwtgmyqlw9tseKctviLvL/view?usp=share_link,Rational,1,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too,,,,,,
43-12,26/03/2023 19:30:43,https://twitter.com/JeanDelima25/status/1454336650503278592 ,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@JeanDelima25,JEAN LOVEIN,Relax my mind and let my heart beat.,Anonymous,10/21,70,87,,"Tapusin na natin yong issue noyo about sa degree ni BBM ayan na confirmation ""Special diploma issued by Oxford in the 1970's was a DEGREE AS MUCH AS BACHELOR'S DEGREE"".",,"Text, Image",30/10/2021 14:37,https://drive.google.com/file/d/1I3mJYgIvbQnmmg1LCPKtJVOVu4cQ7Ea8/view?usp=share_link,Rational,0,0,0,2,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too,,,,,,
43-13,26/03/2023 19:35:40,https://twitter.com/AaronValdezzzz/status/1453602316905377792,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@AaronValdezzzz,Aaron Valdez,nothing new,Anonymous,05/21,0,7,,"FACT ON THE EDUCATIONAL BACKGROUND OF BBM during his student time on Universit of Oxford.  She explained that SPECIAL DIPLOMA that time is equivalent to a BACHELOR DEGREE.   
Link on below: https://facebook.com/100009837316046/posts/1624522161219012/
#BBMSigawNgBayan #BBMIsMyPresident2022 #BBM2022
",,"Text, Image, URL",28/10/2021 13:59,https://drive.google.com/file/d/1bqSW0DFV_yn37FN_X7XI_Xjj8S4_950f/view?usp=share_link,Rational,0,0,1,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too,,,,,,
43-14,26/03/2023 19:40:05,https://twitter.com/KCM2485/status/1453494747624980480,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@KCM2485,K£NT C.M.,"Life is a circle of happiness, sadness, hard times, and good times. If you are going through hard times have faith that good times are on the way.",Anonymous,04/21,488,44,"Cebu City, Central Visayas, Philippines","“During those days, a bachelor degree is equivalent to a special diploma award at least as far as Oxford University is concerned. But now, they are two different degrees but with the same qualification. Sa totoo lang po pinababa pa ni BBM ang qualification niya.""",,Text,28/10/2021 06:52,https://drive.google.com/file/d/15KVOxCG-rtX4hEGL_J-mOIqHcF3p_TD6/view?usp=share_link,Rational,0,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too,,,,,,
43-15,26/03/2023 19:44:38,https://twitter.com/KCM2485/status/1453494592016318466,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@KCM2485,K£NT C.M.,"Life is a circle of happiness, sadness, hard times, and good times. If you are going through hard times have faith that good times are on the way.",Anonymous,04/21,488,44,"Cebu City, Central Visayas, Philippines","""BBM studied at Oxford during the 1970s. During that time, a special diploma is equivalent to a bachelor degree as far as academic requirement is concerned. Well, in fact, special diploma is taught at a graduate level nowadays.",,Text,28/10/2021 06:51,https://drive.google.com/file/d/16gicroGLhRENVgualTPZ55TUcCbARPwp/view?usp=share_link,Rational,0,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-16,26/03/2023 19:51:27,https://twitter.com/WinwinEklabu/status/1453273674950365186,43,"Solas, Rohan",MRCS,BBM Oxford/Wharton Grad,"bbm oxford, bbm wharton",@WinwinEklabu,"
Mr.Winwin_Situation","I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6456,7108,"Metro Manila, Philippines",BBM was able to get his Masteral Degree at Wharton University and he uses that special diploma issued to him by Oxford University to pursue his masteral. Your post is not funny that's why people hates your articles. What you are doing is unfilipino.,,Text,27/10/2021 16:13,https://drive.google.com/file/d/14cnKpcQjBK9IzwcvxutuPARqHTSIzPqr/view?usp=share_link,Emotional,6,0,0,0,,,"It remains unclear as to how Bongbong Marcos go into Wharton without an undergraduate degree. However, evidence shows that he did not finish his studies in the aforementioned school. https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharton",,,,,,
43-17,26/03/2023 19:51:27,https://twitter.com/WinwinEklabu/status/1528612569375981568,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@WinwinEklabu,"
Mr.Winwin_Situation","I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6456,7108,"Metro Manila, Philippines","3 yrs at Oxford is not something you belittle 3 years of rigorous study under the best mentors in the field of philosopy, politics and economics is education that 99% of the Filipino people cannot even aspired to obtain. BBM has a college degree and that is a fact.",,"Text, Image",23/05/2022 13:43,https://drive.google.com/file/d/1twF7CEdzv1WxMAyQKhyvqStqtPS6qMdw/view?usp=share_link,Rational,143,5,45,5,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-18,26/03/2023 20:04:19,https://twitter.com/WinwinEklabu/status/1527653249016549376,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@WinwinEklabu,"
Mr.Winwin_Situation","I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6456,7108,"Metro Manila, Philippines","Your opinion is based on your imagination, the degree confirmation obtained by BBM is directly from Univ. of Oxford and it is the graduate category.  Meaning he finished and he has a degree. That’s the difficulty of remaining stupid, endless arguments when you become stupid.",,Text,20/05/2022 22:11,https://drive.google.com/file/d/1eAdgEEGmzWRXi5EmjjbxlbcL9NGIixyf/view?usp=share_link,Emotional,0,2,1,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-19,26/03/2023 20:07:28,https://twitter.com/WinwinEklabu/status/1524449556368269312,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@WinwinEklabu,"
Mr.Winwin_Situation","I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6456,7108,"Metro Manila, Philippines","Why did BBM win?
1. Not a thief.
2. Has a degree in Oxford
3. Intelligent
4. Not vindictive
5. Honest
6. Over qualified
7. Down to earth
8. Trust worthy
9. Good Machiavellian
10. Charming
11. Visionary
12. knows how to govern 
13. God fearing
14. Pinoy loves him
15. Loving father",,Text,12/05/2022 02:01,https://drive.google.com/file/d/1MyK1ULTMb482yVdDpAjaLm_h9952bscR/view?usp=share_link,Emotional,378,15,114,26,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-20,28/03/2023 22:39:06,https://twitter.com/anncupcake1995/status/1463398316834967554,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@anncupcake1995,"
roseann jagunos",,Anonymous,10/20,24,13,,Bbm did study and graduate at Oxford university. 💕 Sala pwede ba wag mong ipilit na yang si Leni Ang nanalo. May dayaang nangyari at may ebidensya. Wag po tayong bulag sa katotohanan. God bless you.,,Text,24/11/2021 14:45,https://drive.google.com/file/d/10hF8pHmrLfx2_RhRaHTTQb-_bbAOfbxk/view?usp=share_link,Emotional,1,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-21,29/03/2023 17:31:45,https://twitter.com/bernallene/status/1463046562901213187,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@bernallene,"
Ellen Muñoz","Married with kids.
Don't send me messages in DM asking my job,business,email address. I don't care about your heart problems.

Not interested in bitcoin.",Identified,02/16,5911,5586,,"OK. Search this from google, 100 notable alumni of oxford, pang #66 si BBM. Kung ayaw mo pa rin tanggapin so be it,",,Text,23/11/2021 15:27,https://drive.google.com/file/d/1j6AKI_MiGKMAovNZdHSXVjPZNoXbgD2z/view?usp=share_link,Emotional,0,1,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-22,29/03/2023 18:06:10,https://twitter.com/benjami22038172/status/1459287327319236612,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@benjami22038172,FEAR GOD AND FOLLOW HIM,"MATTHEW 7:2 For in the same way you judge others, you will be judged, and with the measure you use, it will be measured to you",Anonymous,05/20,426,188,"Pasay City, Philippines","Leni, PINKLAWAN, RAPPLER AT IBA PANG BIAS MAINSTREAM MEDIA, ETO NAG PAPARUNAY NA NAKATAPOS TALAGA SI BBM SA OXFORD SA UK https://fb.watch/9eF0_pr03o/ PLEASE WATCH",,"Text, URL",13/11/2021 06:29,https://drive.google.com/file/d/1ZZZGJlzv12F8BYKyACnjPIHK5tHXYRnl/view?usp=share_link,Rational,0,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-23,29/03/2023 18:22:18,https://twitter.com/DamitoMagpantay/status/1456837091669643264,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@DamitoMagpantay,Damito Magpantay,,Anonymous,09/21,459,21,,"Thanks 
@SongbirdARI
 … for clarifying… Oxford did confirm the degree earned by BBM.. just so happened that the degree was labeled or named as Special Diploma in Social Studies… 👍🙂",,Text,06/11/2021 12:13,https://drive.google.com/file/d/1Qx7cn8txFLWWTVmUR8eKKZy5XuP9T-Sd/view?usp=share_link,Emotional,0,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-24,29/03/2023 18:44:13,https://twitter.com/shihtzuyam/status/1476019389866463237,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@shihtzuyam,"
Shihtzu",,Anonymous,11/21,153,421,,"What official statement ng Oxford? You meant the Oxford Philippines Society? Thats not official statement from Oxford. But look, BBM got a degree confirmation from Oxford. Degree confirmation. Hmmm ano kaya ibig sabihin nun 🤔",,"Text, Image",29/12/2021 10:37,https://drive.google.com/file/d/1PgQc058WuVQwl2f9FCUU7uHwSgkyXDur/view?usp=share_link,Emotional,2,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-25,29/03/2023 18:50:40,https://twitter.com/v1n7z/status/1475656625667317762,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@v1n7z,"
𝙫𝙞𝙣𝙣𝙮 金凯文 🇵🇭🇳🇴 ",5ft 5in • IT • Dump • Opinionated • Pragmatist • Geopolitics • Cats • Foodie • Versa Top • Anti-woke SJWs • Not for the faint of heart • Follow at your own risk,Anonymous,08/09,392,1927,None of your f*ing business,"Nakakapagod kang patulan. Pinatunayan na ngang natapos ni BBM yung course niya sa Oxford, hinanapan niyo ng diploma. Sinasabi niyong tax evader si BBM pero di mo masabi kung nasaan yung conviction niya for not paying taxes. Block muna kita. Mahalaga mental health ko eh.",,"Text, Image",28/12/2021 10:35,https://drive.google.com/file/d/1Ccuc20s7HuL0Dxidkc6D7KTM-dEr6lJI/view?usp=share_link,Emotional,25,7,2,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,Location specified isn't a place,,,,,
43-26,29/03/2023 19:12:21,https://twitter.com/Michael550265/status/1467451707701739520,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,"
@Michael550265","
Michael",This is the way,Anonymous,05/21,101,252,,"Si Leni na lang ang walang drug test. Palaging lutang kasi
Si BBM was a senator 6 years ago.
Si BBM nagtapos sa Oxford",,Text,05/12/2021 19:12,https://drive.google.com/file/d/1W_iaAv2O_AjfPtkx3Ac0F7oTr9gMjyhl/view?usp=share_link,Emotional,4,1,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-27,29/03/2023 21:48:25,https://twitter.com/putoBONGBONG_/status/1466864078128033792,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@putoBONGBONG_,"
Leni for President 🌸🌷",former uniteam supporter -,Anonymous,10/21,415,495,,"• Oxford issue, clearly he had a special diploma, still a diploma whatever you say graduate pa rin siya and it was confirmed by SMNI news who went personally to UK just to clarify it.
• The PCGG [di naman kasali si bbm] SEQUESTERED the money which they called as ""ill gotten""",,Text,04/12/2021 04:17,https://drive.google.com/file/d/1yrFOB7wDPhbhezLqB-SLwIl5ptrZDpMz/view?usp=share_link,Rational,1,1,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree",,,,,,
43-28,29/03/2023 21:56:00,https://twitter.com/DrakeFrank4Ever/status/1487312207348047872,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@DrakeFrank4Ever,DF,kpopfan,Anonymous,10/18,361,298,,May special diploma (undergraduate) po si bbm sa oxford. Na 2nd rank university sa buong mundo.,,Text,29/01/2022 14:30,https://drive.google.com/file/d/1Zh5hSsRaFWqnjbEkSpi89e9eSJEE6_kF/view?usp=share_link,Rational,0,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,,,,,,
43-29,29/03/2023 22:09:00,https://twitter.com/Gillygili/status/1548716875240071168,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@Gillygili,Gil,"🇵🇭🇺🇸 BA Pol Sci, MS Data Science 📍Pacific Northwest 🏳️‍🌈 LGBTQ+ advocate",Anonymous,03/22,216,72,,"For the record, BBM was accepted into the #1 University in the world and graduated with a Diploma in Social Studies (confirmed by Oxford many times). Not a chance in hell Kristin of Cagayan would get accepted there",,Text,18/07/2022 01:10,https://drive.google.com/file/d/1j0mqhUXySPk-Csxgfg8RF-IkvJf56kb6/view?usp=share_link,Emotional,11,0,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree",,,,,,
43-30,30/03/2023 21:41:00,https://twitter.com/pquitiquit/status/1453931085964853249,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm wharton,@pquitiquit,Prezie,ðŸ˜€,Identified,06/14,20,4,Taguig City,"@RaulMir70 @geekindapink7 Yung source ni Oxford Philippines is Rappler, wala ng credibility. Source ng propaganda at fake news.
 
 Di talaga nyo matanggap na Oxford University and Wharton recognized BBM na di basta basta nakakapasok dyan unless matalino kang tao.",,"Text, Reply",29/10/2021 11:45,,Emotional,0,0,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree",Exhibits troll behavior,,,,,
43-31,30/03/2023 21:56:00,https://twitter.com/MichaelJohnDia5/status/1454008858754551809                ,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm wharton,@MichaelJohnDia5,Michael John Diaz,,Identified,04/21,1087,85,,@IamCharotism Angbobo ng mga pinkwanan at dilawtae... paanu nakakuha masters degree sa Wharton si BBM kung wala syang degree ?,,"Text, Reply",29/10/2021 16:55,,Emotional,0,0,0,0,,,https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto,Exhibits troll behavior,,,,,
43-32,"30/03/2023 22:05:00
",https://twitter.com/Gasparzxc/status/1350455111168901122,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm wharton,@Gasparzxc,:),,Identified,01/21,161,89,,@chadachada17 @Aczent1 @MeOw_MaLdits24 @fightingIsda @Evanescene2021 @ManaogShantal @PinoyAkoBlog @haruko_lornskie @Knightmare415 @TheDoctorLuck @SapphireGir75 @lenirobredo @ralphrecto @MrFrankBaraan @fightingIsda @Aczent1 wala raw natapos si BBM kung ikukumpara mo naman kay marcos si leni si marcos nag aral sa oxford at nag aral din sa wharton anong pinagsasabi mo na walang pinagaralan 3x pa ang alam ni BBM sa politics kesa sa leni bugaw mo.,,"Text, Reply",16/01/2021 22:49,,Emotional,0,0,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree
https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto",Exhibits troll behavior,,,,,
43-33,30/03/2023 22:31:00,https://twitter.com/realtalkonliii/status/1183999344275410944,43,"Dy, Timothy",MRCS,BBM Oxford Grad,bbm oxford,@realtalkonliii,lalala,,Anonymous,10/19,0,0,,"""@PogingMestizo BBM - governor of ilocos norte, approved project windmills then became the senator of the country maraming naipasa oxford graduate

Leni — NAMATAYAN NG ASAWA NAGING BISE PRESIDENTE""",,"Text, Reply",15/10/2019 06:53,,Emotional,0,0,0,0,,,"Oxford confirms that Bongbong Marcos did not complete his degree. (Therefore, he did NOT graduate from Oxford). https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree
https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharto",,,,,,
43-34,30/03/2023 22:25:25,https://twitter.com/analizacruz18/status/1486376553474781186,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford,@analizacruz18,analiza cruz,Singer..painting,Anonymous,11/21,8,13,,Interview mismo sa oxford ..may degree po talaga si BBM sa oxford..binubura ng mga anti marcos kaya panoorin nyo na https://fb.watch/aNacKgeZyq/,,"Text, URL",27/01/2022 00:32,,Rational,0,0,0,0,,,An Oxford special diploma is NOT equivalent to a Bachelor's degree https://newsinfo.inquirer.net/1507278/marcos-jrs-special-diploma-from-oxford-you-can-have-it-too ,URL links to SMNI news report,,,,,
